Timestamp,Informed Consent,What is your age?,Please select your gender,Do you have any significant uncorrected impairments affecting your vision? ,Do you have any significant  uncorrected  impairments affecting your hearing?  ,Do you have any significant uncorrected impairments affecting your movement?   ,"What Degree are you Studying? If you have completed your study, please indicate the subject of your degree. If you have not undertaken a degree please put N/A.",Have you interacted with a robot before? ,"If yes, what kind of robot(s) have you interacted with? (select all that apply) ",How frequently do you interact with robots in your daily life? ,How would you rate your overall interest in Robotics and AI technology?,How comfortable are you being near a robot? (e.g. walking past one),What is the closest distance that you would feel comfortable standing next to a robot?,Would you be comfortable if a robot approached you in a public setting? (e.g. museum or airport),Would you trust a robot to guide you around a museum so it can explain artwork to you?,Would you follow a robot that was guiding to a destination? ,What would make you feel more comfortable interacting with a robot guide? (Select all that apply),"Have you ever seen or interacted with a robot in a public space? (e.g. Shopping centre, museum, hospital)","If yes, what was your impression of that robot?",Do you think robots can improve the visitor experience in museums? Why or why not?  ,Do you have any concerns about robots in public or social environments? 
9/2/2025 20:53:59,I consent to participate in the survey,23-27,Female,No,No,No,Mechanical Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),5,4,less than 0.5 meters,Yes,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Human supervision nearby",Yes - Interacted with one,Positive,Yes I think it a good idea but would be scared of breaking it. ,The interaction between the robot and with people with different abilities eg profound autism get scared or breaking the objects. So would have to be a time a place kinda thing 
9/2/2025 21:11:49,I consent to participate in the survey,57+,Female,Yes,No,No,N/A,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Rarely (few times a year),6,6,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - Interacted with one,Neutral,If the information was clear and concise I would be happy to use it, Not at all
9/2/2025 21:18:58,I consent to participate in the survey,57+,Female,No,No,No,Business,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),5,5,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - Interacted with one,Positive,"Yes,  having clear, concise, consistent, accurate information. ",No
9/2/2025 21:23:54,I consent to participate in the survey,53-57,Female,No,No,No,PhD,No,No,Never,3,4,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Friendly voice or tone, Slow and careful movements, Human supervision nearby",No,Not applicable,Maybe ,A little 
9/2/2025 21:59:32,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Arts - Extended Major in Psychology,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),4,4,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Not too large in size",Yes - Interacted with one,Positive,"Yes - they may be helpful as a guide to explain more information in a museum. However, I would recommend the users wear headphones bluetooth connected to the robot, or else they may be distracting to other visitors who don't want explanations.",Distracting to others in the public if there are too many robots moving around.
9/2/2025 22:34:52,I consent to participate in the survey,18-22,Female,No,No,No,Nursing,No,NA,Never,3,4,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",No,Not applicable,"Robots could make museums more inclusive by offering assistance for visitors with disabilities and providing information in multiple languages, ensuring everyone can understand the exhibits","Technical issues, lack of human touch and loss of jobs, cost of robots"
9/3/2025 8:40:34,I consent to participate in the survey,18-22,Female,No,No,No,Chemical and Sustainable Process Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),3,3,I am not sure/ depends on the situation,Depends on how the robot behaves,No,"Yes, I would follow","Clear instuctions on the screen, Ability to ask questions, Human supervision nearby",Yes - saw one but did not interact,Neutral,"Yes and no - I do think there is value to them especially in consideration of accessibility and inclusion however I think the human connection in roles like tour guides play an unseen but major role in museum experiences. A museum often is marketed as celebration of the human experience - whether it be history, art or explorations. In that, people go to these ares for education and often to feel more connected to society in one way or another. There is a somewhat irony to have a robot explain the value of the human endeavour… but this more so in regards public perception than logistics. As a tool and accessibility item I see great value in robots however I think this is ought to be integrated alongside people rather than in place of.",N/a
9/3/2025 8:50:38,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Engineering (Software),Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi)",Frequently (once a week or more),6,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Positive,Yes,No
9/3/2025 8:57:12,I consent to participate in the survey,23-27,Female,No,No,No,Law and Business,Yes,"AI Home assistant (e.g. Alexa, Google Home), I did some robotics in high school but the kit ones ",Rarely (few times a year),5,3,0.5 - 1 meter,Depends on how the robot behaves,Yes,Yes if I knew in advance that it was a robot,"Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,"Maybe , I think it would be cool for the first time but part of going to a museum for me is the connection with humanity so I like having a human guide",Their coordination right now is rather lacking which makes for funny videos but also I do not want to be crashed into by a robot
9/3/2025 9:39:25,I consent to participate in the survey,57+,Female,No,No,No,"BA Media, Government & Exonomy",Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,"Yes, not everyone can afford personalised service with human tour guide so makes more accessible for all.",No concerns as long as they are there for good and supporting those most in need eg accessability etc . 
9/3/2025 10:00:10,I consent to participate in the survey,23-27,Male,No,No,No,Bachelor of Engineering/ Bachelor of Science ,No,None ,Never,4,4,I am not sure/ depends on the situation,Yes,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone",Yes - saw one but did not interact,Neutral,"Possibly , I think it depends ",Somewhat 
9/3/2025 10:04:39,I consent to participate in the survey,18-22,Female,No,No,No,Law ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi)",Rarely (few times a year),0,3,0.5 - 1 meter,Depends on how the robot behaves,No,"Yes, I would follow","Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Neutral,"Not at all. Art and history are such deeply human things that I think places like museums where they are displayed should be run by humans. Tours that explain the meaning of art cannot be conveyed through a lifeless and meaningless robot. It needs to be a human who can talk about the HUMAN experience and emotion. 
I’d turn and walk out of a museum if I was greeted by a dumbass robot. ","Yes. I think the further we remove human assistance from public and social environments and the more we replace them with robots the worse and worse our society will get. 
It takes peoples jobs, albeit sometimes mundane and boring jobs, and in this society I think that’s unfair. 
Robots have their place in labs and as AI (although i for the most part hate AI) but not as replacement for human interaction. "
9/3/2025 10:17:08,I consent to participate in the survey,23-27,Female,Yes,No,No,Process Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Ossasionally (once a month),3,4,1 - 1.8 meters,Depends on how the robot behaves,Maybe,"Yes, I would follow",Friendly voice or tone,Yes - Interacted with one,Neutral,No I don’t think it makes sense to have a robot in a museum - people should just read the provided descriptions ,Them turning on us
9/3/2025 10:45:56,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Civil Engineering and Architecture ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),1,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions, Human supervision nearby",No,Not applicable,Current robots might not be all that useful. If it had a patrol route and if you were looking for a specific area to guide you would be nice. But some people like wondering around and enjoying the museum. The robots like the food delivery bots would be kinda cute,"Not really. Although like a saftey briefing for the robot, like don't touch it and be nice to it"
9/3/2025 10:52:07,I consent to participate in the survey,57+,Female,No,No,No,MBA,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Never,6,6,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Friendly voice or tone, Slow and careful movements, Ability to ask questions",No,Not applicable,"Yes they provide accurate and consistent information on art works , artists and the gallery ",No
9/3/2025 11:15:13,I consent to participate in the survey,43-47,Female,Yes,No,No,N/A,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Ossasionally (once a month),5,5,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - saw one but did not interact,Positive,Yes I believe they would improve the visitor experience as they can deliver a positive interaction with knowledge.,No
9/3/2025 12:04:36,I consent to participate in the survey,18-22,Female,No,No,Yes,"Bachelor of Science (Chemistry major, Biological Science minor)",No,-,Never,6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Neutral,"Yes, can make their experience a lot more fun",Nothing
9/3/2025 12:32:00,I consent to participate in the survey,23-27,Male,No,No,No,Business ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Chat GPT, co-pilot etc.",Frequently (once a week or more),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,"Yes, no mistakes",No
9/3/2025 12:34:15,I consent to participate in the survey,18-22,Female,No,Yes,No,Mechanical engineering/industrial design,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),3,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow",Human supervision nearby,No,Not applicable,"Sure, could be a more accessible option than a human guide. ",Depends on what it does and how well developed it is/who developed it. 
9/3/2025 13:13:04,I consent to participate in the survey,18-22,Female,No,No,No,Bachelors of Engineering (Mechatronics) (Honours),Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Frequently (once a week or more),6,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,I would assume they can provide a more interactive experience similar to a tour guide compared to the current typical experience of self-directed walking through a museum.,"Potential issues with emergency stops, collisions with people or artworks, and general safety issues. Also generally assistant robots which use voice recognition worry me as I am conscious of their constant listening for their trigger words."
9/3/2025 15:59:08,I consent to participate in the survey,38-42,Female,Yes,No,Yes,I have completed a bachelor of civil engineering in my early twenties ,No,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), ",Rarely (few times a year),6,5,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Positive,With someone stuggling with eyesight I’d like to have a caring friendly voice describing artwork to me ,Mainly them falling over or getting damaged in the process of doing tasks 
9/3/2025 16:58:46,I consent to participate in the survey,18-22,Male,No,No,No,Engineering,No,N/A,Never,3,3,I am not sure/ depends on the situation,Yes,No,"No, I would ignore it",Human supervision nearby,Yes - saw one but did not interact,Negative,"No, would feel negative about interacting with a robot rather than a human","Yeah, my opinion is that interacting with robots takes away from good social experiences and as an overall trend may make people more lonely if used in social environments."
9/3/2025 18:06:14,I consent to participate in the survey,18-22,Female,,No,No,Bach Civ Eng,Yes,"AI Home assistant (e.g. Alexa, Google Home), Delivery robot (e.g. Food, mail)",Ossasionally (once a month),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - saw one but did not interact,Positive,Yes because they’ll be able to answer any question and give me random facts about the painting as well ,Them hurting themselves probably 
9/3/2025 18:10:25,I consent to participate in the survey,38-42,Female,Yes,Yes,Yes,Took Bachelor of Finance and Business in 1999,Yes,"Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Rarely (few times a year),4,4,1 - 1.8 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Neutral,I’d rather a human express me the painting than a robot as they can replicate that same feeling ,Them hurting themselves in a public area probs 
9/3/2025 19:05:47,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Medical Imaging (Honours),Yes,"AI Home assistant (e.g. Alexa, Google Home), Delivery robot (e.g. Food, mail)",Ossasionally (once a month),1,5,less than 0.5 meters,Yes,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements",No,Not applicable,Yes - for those with impairments,Could be a safety concern - if they have cameras and people don’t want to be photographed by a robot
9/3/2025 19:06:29,I consent to participate in the survey,18-22,Male,No,No,No,IT (Comp Sci) / Engineering (Computer and Software Systems),Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),6,6,less than 0.5 meters,Yes,Yes,"Depends how far the robot is taking me, how reliable the robots history is with getting its passengers from point A to B.","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,I certainly do think that robots can improve the visitor experience. Especially for people who may be vision impaired. It could make a huge difference for them as Robots can provide extremely effective narration throughout the museum. They have the ability to recall extremely specific information that could be fascinating to visitors. ,"My only concerns are with how my data is used. Specifically, facial recognition software and how it uses any possible information about my face biometrics to identify me as an individual. "
9/3/2025 19:07:01,I consent to participate in the survey,53-57,Female,No,No,No,Bachelors of Law and Commerce,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Ossasionally (once a month),6,6,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,Yes but would use own gps as well,"Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Neutral,"Yes, perhaps better than audio guides",Potentially safety - depends how they behave
9/3/2025 19:25:08,I consent to participate in the survey,57+,Female,No,No,No,PHD UQ ,No,Health context,Rarely (few times a year),4,4,0.5 - 1 meter,Yes,Maybe,Depends who owns the robot ,"Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Neutral,Perhaps ,Not really 
9/3/2025 19:46:35,I consent to participate in the survey,18-22,Female,No,No,No,Engineering & Business ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi)",Rarely (few times a year),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow",Friendly voice or tone,Yes - Interacted with one,Positive,"Potentially, they may help vision impaired people connect to artwork ",No
9/3/2025 20:12:59,I consent to participate in the survey,18-22,Female,No,No,No,Economics ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),2,2,1.8-2.5m,Depends on how the robot behaves,No,"No, I would ignore it","Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Neutral,Maybe. Very strange and may ruin the vibe ,Just strange and not able to pick up on the world around them.  
9/3/2025 20:16:06,I consent to participate in the survey,18-22,Male,No,No,No,IT (Computer Science) / Law,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail), FIRST Robotics robots - autonomous and Tele-op",Frequently (once a week or more),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - Interacted with one,Positive,Yes. Saves people from doing the hard work,They take away jobs
9/3/2025 20:42:32,I consent to participate in the survey,28-32,Male,No,No,No,Bachelors of computer science,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Rarely (few times a year),5,2,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,"Yes, I would follow","Slow and careful movements, Human supervision nearby, How it behaves and operates in the environment. Is it scripted or adaptive?",Yes - saw one but did not interact,Neutral,I think they can help to a limited degree. Pointing you in the right direction is about their highest function. But with such relatively simple tasks could you not also employ people with disabilities to also help people with similar disabilities?,"Biggest issue i see with robots moving through a human dominated space is the risk of said people. Kids and elderly can easily be hit or knocked over by these robots. Kids will randomly change vector and velocity at will. Old people dont pay attention to their surroundings as much due to their age and are more at risk. One trip, broken hip. "
9/3/2025 20:57:15,I consent to participate in the survey,18-22,Female,No,No,No,Urban Development Majoring in Construction Management and Proporty,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),3,3,I am not sure/ depends on the situation,No,Yes,"Yes, I would follow","Clear instuctions on the screen, Slow and careful movements, Ability to ask questions",No,Not applicable,"Yes, possibly more factual than a human - especially with the ability to ask questions. Although, humans are obviously more personable ","Not really, as long as they are regulated in some way"
9/3/2025 21:10:23,I consent to participate in the survey,28-32,Female,No,No,No,Drama ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Rarely (few times a year),3,5,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements",Yes - Interacted with one,Positive,"Absolutely. I have been a museum attendant, half the people I worked with were absolutely useless and had no knowledge of anything. The ones of us who knew things only really knew a lot about a few rooms and we had to rotate between rooms every hour or so, so inevitably there would be a solid chunk of the day where you were in a room you had no interest in and knew absolutely nothing about! ",Love robots. We had a 3D printer. We named him George. He broke because we bought the cheapest model so he was a sensitive soul and summer rolled around and he did NOT appreciate summer in any way. He dealt with this by dying. 
9/3/2025 22:00:24,I consent to participate in the survey,18-22,Female,No,No,No,Medical engineering ,Yes,"Delivery robot (e.g. Food, mail)",Rarely (few times a year),3,5,1 - 1.8 meters,Depends on how the robot behaves,Yes,"At a museum? Yes. Down an alley, absolutely not. I wouldn't follow a robot anywhere I wouldn't follow a human stranger.","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Human supervision nearby",Yes - Interacted with one,Neutral,"Depends on the museum. A museum of technology would be great with little robots running around. But I believe in places where art history and old things are, there is much knowledge in the workers and human guides. But a robot when there can't be humans (no one on shift) wouldn't hurt.","For utilitarian needs, yes, but absolutely not for emotional or health and safety situations."
9/3/2025 22:23:47,I consent to participate in the survey,18-22,Male,No,No,No,Bachelor of Engineering (Electrical) / Bachelor of Information Technology (Computer Science),Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),6,5,I am not sure/ depends on the situation,Depends on how the robot behaves,No,"No, I would ignore it","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - saw one but did not interact,Neutral,"I think it depends a lot on the type of museum. I think a robot would be a nuisance in a fine art museum where the art is more about the interpretation of the viewer, than in a historical museum. Part of the wonder of a museum is the act of exploring it yourself, and I feel a robot may take away from that. There is definitely a place for robots to explain science or history to people.","Not in general, but the heavier the robot the more scared I am it will fall over onto me."
9/4/2025 15:36:49,I consent to participate in the survey,18-22,Female,No,No,No,Engineering (Mechanical) and science (Biological Sciences),Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),4,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,Yes. They will make museums more accessible and friendly for people to find information without needing the help of a person who isn’t always as available ,No
9/4/2025 20:01:58,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Engineering (Honours) ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Rarely (few times a year),3,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Neutral,I prefer people but understand for efficiency sake the use of them,Reducing the amount of jobs for younger people
9/10/2025 11:49:40,I consent to participate in the survey,18-22,Male,No,No,No,Electrical Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Spot mini, Unitree G1",Frequently (once a week or more),5,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - saw one but did not interact,Neutral,It can improve the experience as the guided tour would be self initialized instead of awaiting for a group tour,the social aspect of taking human's job away is a major concern in today's society thus it may be an issue when it would result in job reduction for human
9/11/2025 17:31:31,I consent to participate in the survey,33-37,Male,No,No,Yes,Finance,No,"Delivery robot (e.g. Food, mail)",Never,2,3,1 - 1.8 meters,Depends on how the robot behaves,Maybe,"Yes, I would follow","Friendly voice or tone, Ability to ask questions, Human supervision nearby",No,Not applicable,Maybe but worried they would run into things,would be good to have a guide readily assessible 
9/11/2025 17:33:55,I consent to participate in the survey,38-42,Non-binary,Yes,No,No,Arts - Music,Yes,"AI Home assistant (e.g. Alexa, Google Home), Delivery robot (e.g. Food, mail)",Rarely (few times a year),1,4,I am not sure/ depends on the situation,Yes,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - saw one but did not interact,Neutral,"I think so, would be good to have a neutral experience where there can be no judgement. this could back fire as there would be no human touch",taking jobs and being dangerous 
9/12/2025 13:53:35,I consent to participate in the survey,18-22,Male,No,No,No,Mechanical Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Frequently (once a week or more),5,5,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Neutral,"Yes, can improve visitor experience by providing guidance when human not available",Robot potentially injuring someone by accident
9/19/2025 11:05:02,I consent to participate in the survey,23-27,Male,Yes,No,No,Bachelor of Engineering (Honours) - Mechatronics,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Frequently (once a week or more),6,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,Yes as it it could be used as a guide or in Exhibits themselves to add depth to the mueseum ,Always safety concern
9/12/2025 13:53:35,I consent to participate in the survey,18-22,Male,No,No,No,Law and IT,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Rarely (few times a year),4,3,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Neutral,"Yes, can improve visitor experience by providing guidance when human not available",Robot potentially injuring someone by accident
9/19/2025 11:05:02,I consent to participate in the survey,23-27,Male,Yes,No,No,Advanced Business,no,None ,Rarely (few times a year),4,2,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,Yes as it it could be used as a guide or in Exhibits themselves to add depth to the mueseum ,Always safety concern
